Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.266,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.485,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.735,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
1.016,TraderOne,Tick,0,10,-10,10,147600,147100,-147,147,-1853,OK
1.203,TraderOne,Tick,1,10,-9,9,147200,147100,-162,62,-838,OK
1.5,TraderOne,Tick,1,10,-9,9,147200,147100,-162,62,-838,OK
1.703,TraderOne,Tick,1,10,-9,9,147200,147100,-162,62,-838,OK
1.969,TraderOne,Tick,1,10,-9,9,147200,147100,-162,62,-838,OK
2.266,TraderOne,Tick,1,10,-9,9,147200,146900,-162,62,-1738,OK
2.469,TraderOne,Tick,11,10,1,9,146400,146900,-309,-1470791,-1991,OK
2.735,TraderOne,Tick,11,10,1,-1,146400,146900,-309,-2791,-2991,OK
3.0,TraderOne,Tick,11,10,1,-1,146400,146900,-309,-2791,-2991,OK
3.25,TraderOne,Tick,11,10,1,-1,146400,146900,-309,-2791,-2991,OK
3.453,TraderOne,Tick,11,20,-9,9,147500,146900,-456,-2644,-4444,OK
3.735,TraderOne,Tick,21,20,1,-1,146300,146900,-603,-3497,-3697,OK
4.047,TraderOne,Tick,21,20,1,-1,146300,146900,-603,-3497,-3697,OK
4.266,TraderOne,Tick,21,20,1,-1,146300,146900,-603,-3497,-3697,OK
4.547,TraderOne,Tick,31,20,11,-11,146300,146900,-750,-3350,-5550,OK
4.766,TraderOne,Tick,31,20,11,-11,146300,146900,-750,-3350,-5550,OK
4.953,TraderOne,Tick,31,20,11,-11,146300,146900,-750,-3350,-5550,OK
5.219,TraderOne,Tick,31,20,11,-11,146300,146800,-750,-3350,-5550,OK
5.485,TraderOne,Tick,31,20,11,-11,146300,146800,-750,-3350,-5550,OK
5.766,TraderOne,Tick,31,20,11,-11,146300,146800,-750,-3350,-5550,OK
5.969,TraderOne,Tick,31,30,1,-1,147000,146800,-456,-3644,-3444,OK
6.25,TraderOne,Tick,31,40,-9,9,147000,146800,-162,-3938,-5738,OK
6.485,TraderOne,Tick,31,50,-19,19,147000,146800,132,-1232,-5032,OK
6.735,TraderOne,Tick,31,60,-29,29,147200,146700,426,1474,-4326,OK
6.969,TraderOne,Tick,31,60,-29,29,147200,146900,426,1474,-4326,OK
7.235,TraderOne,Tick,31,60,-29,29,147200,146900,426,1474,-4326,OK
7.516,TraderOne,Tick,31,60,-29,29,147200,146900,426,1474,-4326,OK
7.75,TraderOne,Tick,31,60,-29,29,147200,146900,426,1474,-4326,OK
7.953,TraderOne,Tick,31,60,-29,29,147200,146900,426,1474,-4326,OK
8.203,TraderOne,Tick,41,60,-19,19,147000,146900,279,-1379,-3279,OK
8.547,TraderOne,Tick,41,60,-19,19,147000,146900,279,-1379,-3279,OK
8.735,TraderOne,Tick,41,60,-19,19,147000,146900,279,-1379,-3279,OK
9.047,TraderOne,Tick,51,60,-9,9,146700,146900,132,-3232,-1432,OK
9.235,TraderOne,Tick,61,60,1,-1,146400,146900,425,-525,-725,OK
9.532,TraderOne,Tick,71,60,11,-11,146400,146900,718,2182,-18,OK
9.719,TraderOne,Tick,81,60,21,-21,146400,146900,1011,3889,-311,OK
10.063,TraderOne,Tick,81,60,21,-21,146400,146900,1011,3889,-311,OK
10.282,TraderOne,Tick,91,60,31,-31,146400,146900,1304,5596,-604,OK
10.453,TraderOne,Tick,101,60,41,-41,146400,146900,1597,9303,1103,OK
10.719,TraderOne,Tick,111,70,41,-51,146500,147000,1744,1478156,-44,OK
11.032,TraderOne,Tick,111,80,31,-31,147300,147000,1597,2303,8503,OK
11.313,TraderOne,Tick,111,80,31,-31,147300,147000,1597,2303,8503,OK
11.469,TraderOne,Tick,111,80,31,-31,147300,147000,1597,2303,8503,OK
11.797,TraderOne,Tick,111,90,21,-21,147400,147200,1450,-550,3650,OK
11.953,TraderOne,Tick,111,90,21,-21,147400,147200,1450,-550,3650,OK
12.219,TraderOne,Tick,111,90,21,-21,147400,147200,1450,-550,3650,OK
12.547,TraderOne,Tick,111,90,21,-21,147400,147200,1450,-550,3650,OK
12.735,TraderOne,Tick,111,90,21,-21,147400,147200,1450,-550,3650,OK
13.063,TraderOne,Tick,111,90,21,-21,147400,147200,1450,-550,3650,OK
13.297,TraderOne,Tick,121,90,31,-31,146700,147200,1303,1597,-4603,OK
13.453,TraderOne,Tick,121,90,31,-31,146700,147200,1303,1597,-4603,OK
13.766,TraderOne,Tick,121,90,31,-31,146700,147200,1303,1597,-4603,OK
13.953,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-708,-5508,OK
14.297,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-708,-5508,OK
14.485,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-708,-5508,OK
14.782,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-708,-5508,OK
14.953,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-708,-5508,OK
15.235,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-708,-5508,OK
15.516,TraderOne,Tick,121,107,14,-14,146900,146800,1361,-2561,-1161,OK
15.797,TraderOne,Tick,121,107,14,-14,146900,146800,1361,-2561,-1161,OK
15.985,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-5414,-5414,OK
16.266,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-5414,-5414,OK
16.516,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-5414,-5414,OK
16.782,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-5414,-5414,OK
